순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","자기계발","적을 만들지 않는 대화법","8995932589","9788995932582","03320","갈매나무","샘 혼 지음, 이상원 옮김","12,000","10,800","1,200","10%","600점","20150323","24038"
"2","자기계발","김미경의 드림 온(Dream On)","8965701201","9788965701200","03320","쌤앤파커스","김미경 지음","7,500","6,750","750","10%","370점","20130114","13556"
"3","자기계발","습관의 힘","890115059X","9788901150598","03320","갤리온","찰스 두히그 지음, 강주헌 옮김","16,000","14,400","1,600","10%","800점","20121030","22860"
"4","자기계발","언니의 독설","8950940760","9788950940768","03320","21세기북스","김미경 지음","16,000","14,400","1,600","10%","800점","20121012","8430"
"5","자기계발","나는 내일을 기다리지 않는다","8996991309","9788996991304","13320","인플루엔셜(주)","강수진 지음","14,000","12,600","1,400","10%","700점","20130123","4221"
"6","자기계발","Open Your Mind 오픈 유어 마인드","899638111X","9788996381112","13320","빅북","이화승 엮음","11,000","9,900","1,100","10%","550점","20100427","1789"
"7","자기계발","미생 5","8960865885","9788960865884","17810","위즈덤하우스","윤태호 글.그림","11,000","9,900","1,100","10%","550점","20130225","2569"
"8","자기계발","안 된다고 하지 말고 아니라고 하지 말고","896574346X","9788965743460","03810","해냄","임윤택 지음","13,800","12,420","1,380","10%","690점","20120715","1724"
"9","자기계발","길 위에서 하버드까지","8963702936","9788963702933","03840","다산책방","리즈 머리 지음, 정해영 옮김","15,800","14,220","1,580","10%","790점","20121212","3346"
"10","자기계발","내 인생 5년 후","8996784702","9788996784708","13320","다온북스","하우석 지음","14,000","12,600","1,400","10%","700점","20120111","2414"
"11","자기계발","내가 행복해지는 거절의 힘","8994597123","9788994597126","13180","이다미디어","마누엘 스미스 지음, 박미경 옮김","16,000","14,400","1,600","10%","800점","20120922","6312"
"12","자기계발","리딩으로 리드하라","8954613020","9788954613026","03320","문학동네","이지성 지음","15,000","13,500","1,500","10%","750점","20101117","28753"
"13","자기계발","하루 15분 정리의 힘","8960865273","9788960865273","13320","위즈덤하우스","윤선현 지음","13,800","12,420","1,380","10%","690점","20120323","10411"
"14","자기계발","꿈꾸는 다락방","8974254891","9788974254896","03320","국일미디어(국일출판사)","이지성 지음","13,500","12,150","1,350","10%","670점","20070521","46807"
"15","자기계발","카네기 인간관계론 (반양장)","8956370591","9788956370590","04320","씨앗을뿌리는사람","데일 카네기 지음, 최염순 옮김","12,000","10,800","1,200","10%","600점","20041125","36897"
"16","자기계발","미생 4","8960865818","9788960865815","17810","위즈덤하우스","윤태호 글.그림","11,000","9,900","1,100","10%","550점","20121224","2934"
"17","자기계발","어떻게 원하는 것을 얻는가","8933870180","9788933870181","03320","8.0","스튜어트 다이아몬드 지음, 김태훈 옮김","15,000","13,500","1,500","10%","750점","20111130","31277"
